;1
1172;14.252
1173;13.434
1174;12.788
1175;12.108
1176;11.684
1177;11.258
1178;10.900
1179;10.223
1180;9.642
1181;9.318
1182;9.650
1183;12.109
1184;15.754
1185;18.670
1186;20.939
1187;22.830
1188;24.277
1189;25.128
1190;25.310
1191;24.676
1192;22.993
1193;19.258
1194;17.130
1195;16.046
1196;15.313
1197;14.756
1198;14.184
1199;13.548
1200;12.949
1201;12.356
1202;11.736
1203;11.305
1204;11.054
1205;10.851
1206;11.289
1207;13.678
1208;17.130
1209;20.536
1210;23.009
1211;24.837
1212;26.013
1213;26.211
1214;26.482
1215;26.045
1216;24.411
1217;20.726
1218;19.033
1219;17.994
1220;17.227
1221;16.618
1222;16.082
1223;15.804
1224;15.274
1225;15.016
1226;14.983
1227;14.764
1228;14.374
1229;13.824
1230;14.459
1231;16.561
1232;18.890
1233;21.103
1234;23.356
1235;25.292
1236;26.945
1237;27.865
1238;27.918
1239;27.073
1240;25.281
1241;21.636
1242;19.654
1243;18.229
1244;17.302
1245;16.658
1246;16.378
1247;16.254
1248;15.865
1249;15.551
1250;15.249
1251;14.670
1252;14.099
1253;13.656
1254;13.949
1255;16.354
1256;19.233
1257;22.181
1258;24.775
1259;26.549
1260;27.689
1261;28.272
1262;28.255
1263;27.594
1264;25.938
1265;21.054
1266;18.976
1267;17.995
1268;17.276
1269;16.807
1270;16.392
1271;15.755
1272;15.144
1273;14.587
1274;14.152
1275;13.812
1276;13.557
1277;13.318
1278;14.173
1279;17.589
1280;20.914
1281;23.638
1282;25.939
1283;27.845
1284;29.003
1285;29.567
1286;29.602
1287;29.078
1288;27.299
1289;23.078
1290;21.402
1291;20.932
1292;20.529
1293;19.355
1294;17.746
1295;16.405
1296;15.661
1297;15.414
1298;15.361
1299;15.246
1300;15.013
1301;14.275
1302;14.683
1303;18.065
1304;21.892
1305;25.364
1306;28.004
1307;29.947
1308;31.214
1309;31.858
1310;31.880
1311;31.237
1312;29.218
1313;24.161
1314;21.684
1315;20.144
1316;18.680
1317;17.453
1318;16.474
1319;15.833
1320;15.578
1321;15.332
1322;14.666
1323;13.674
1324;13.192
1325;13.022
1326;14.089
1327;17.391
1328;20.817
1329;23.402
1330;25.424
1331;26.954
1332;28.092
1333;28.717
1334;28.764
1335;28.167
1336;26.531
1337;21.826
1338;19.517
1339;18.175
1340;17.084
1341;16.138
1342;15.372
1343;14.810
1344;14.345
1345;13.971
1346;13.687
1347;13.417
1348;13.295
1349;13.372
1350;14.488
1351;17.237
1352;20.227
1353;22.790
1354;24.422
1355;25.590
1356;26.380
1357;27.043
1358;27.372
1359;26.851
1360;25.632
1361;22.702
1362;21.320
1363;20.243
1364;19.146
1365;18.415
1366;17.633
1367;16.986
1368;16.028
1369;15.512
1370;14.959
1371;14.476
1372;14.121
1373;13.913
1374;14.230
1375;16.244
1376;18.924
1377;21.575
1378;23.957
1379;25.115
1380;26.107
1381;27.209
1382;27.444
1383;26.924
1384;25.524
1385;21.781
1386;20.111
1387;19.078
1388;17.806
1389;16.801
1390;16.147
1391;15.355
1392;14.621
1393;13.943
1394;13.319
1395;12.795
1396;12.276
1397;11.798
1398;12.093
1399;14.455
1400;17.314
1401;19.833
1402;21.931
1403;23.633
1404;24.869
1405;25.425
1406;25.244
1407;24.492
1408;23.200
1409;20.805
1410;19.062
1411;17.987
1412;16.957
1413;16.025
1414;15.178
1415;14.407
1416;13.792
1417;13.335
1418;12.955
1419;12.574
1420;12.212
1421;11.905
1422;12.405
1423;14.942
1424;18.007
1425;20.608
1426;22.903
1427;24.753
1428;26.125
1429;26.915
1430;27.045
1431;26.368
1432;25.054
1433;22.635
1434;20.979
1435;19.975
1436;19.142
1437;18.477
1438;17.810
1439;17.173
1440;16.627
1441;16.208
1442;15.671
1443;15.250
1444;15.127
1445;15.002
1446;15.758
1447;18.382
1448;21.545
1449;24.451
1450;26.717
1451;28.354
1452;29.508
1453;30.163
1454;30.297
1455;29.889
1456;28.589
1457;24.106
1458;21.822
1459;20.663
1460;19.634
1461;18.549
1462;17.835
1463;17.484
1464;17.078
1465;16.562
1466;16.073
1467;15.657
1468;15.295
1469;14.957
1470;15.516
1471;18.284
1472;21.633
1473;24.612
1474;26.983
1475;28.649
1476;29.743
1477;30.323
1478;30.339
1479;29.707
1480;28.135
1481;23.481
1482;21.372
1483;20.380
1484;19.471
1485;18.740
1486;18.055
1487;17.307
1488;16.601
1489;15.990
1490;15.479
1491;15.051
1492;14.666
1493;14.298
1494;15.051
1495;17.995
1496;21.477
1497;24.492
1498;26.868
1499;28.611
1500;29.755
1501;30.312
1502;30.276
1503;29.590
1504;28.023
1505;23.394
1506;21.167
1507;20.249
1508;19.411
1509;18.694
1510;17.904
1511;17.157
1512;16.485
1513;15.903
1514;15.427
1515;14.945
1516;14.247
1517;13.490
1518;13.642
1519;16.276
1520;19.508
1521;22.283
1522;24.524
1523;26.214
1524;27.389
1525;27.945
1526;27.858
1527;27.125
1528;25.652
1529;22.769
1530;20.584
1531;19.276
1532;18.184
1533;17.292
1534;16.560
1535;15.970
1536;15.424
1537;14.819
1538;14.185
1539;13.495
1540;12.939
1541;12.438
1542;12.940
1543;15.837
1544;19.378
1545;22.257
1546;24.410
1547;26.035
1548;27.160
1549;27.748
1550;27.752
1551;27.136
1552;25.714
1553;21.865
1554;19.552
1555;18.668
1556;17.918
1557;17.322
1558;16.758
1559;16.143
1560;15.547
1561;15.030
1562;14.563
1563;14.120
1564;13.715
1565;13.324
1566;14.049
1567;17.005
1568;20.489
1569;23.718
1570;26.246
1571;27.995
1572;29.148
1573;29.738
1574;29.706
1575;28.989
1576;27.362
1577;23.262
1578;20.938
1579;19.759
1580;18.827
1581;18.124
1582;17.437
1583;16.711
1584;15.980
1585;15.201
1586;14.561
1587;14.095
1588;13.704
1589;13.350
1590;14.317
1591;17.388
1592;20.913
1593;24.089
1594;26.387
1595;28.070
1596;29.283
1597;29.933
1598;30.002
1599;29.368
1600;27.840
1601;23.683
1602;21.321
1603;20.181
1604;19.167
1605;18.406
1606;17.689
1607;17.012
1608;16.393
1609;15.805
1610;15.246
1611;14.697
1612;14.235
1613;13.789
1614;14.602
1615;17.674
1616;21.487
1617;24.760
1618;27.015
1619;28.727
1620;29.965
1621;30.664
1622;30.693
1623;29.976
1624;28.317
1625;24.451
1626;21.915
1627;20.688
1628;19.644
1629;18.841
1630;18.238
1631;17.840
1632;17.451
1633;16.883
1634;16.289
1635;15.790
1636;15.396
1637;15.067
1638;15.746
1639;18.677
1640;22.148
1641;25.315
1642;27.494
1643;28.947
1644;30.003
1645;30.481
1646;30.317
1647;29.487
1648;27.899
1649;24.751
1650;22.291
1651;21.352
1652;20.520
1653;19.470
1654;18.644
1655;18.017
1656;17.606
1657;17.142
1658;16.397
1659;15.753
1660;15.217
1661;14.711
1662;15.543
1663;18.728
1664;22.228
1665;25.487
1666;27.768
1667;29.233
1668;30.202
